theme_slug,theme_title_th,theme_emoji,theme_order,word,ipa,thai,emoji,hint,pos,example_en,example_th,order
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,lettuce,/ˈletɪs/,ผักกาดหอม,🥬,เล็ท-ทิส คิดถึง “เล็ต” ใบผักบาง ๆ,n.,I want extra lettuce.,ขอผักกาดหอมเพิ่ม,1
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,tomato,/təˈmɑːtoʊ/,มะเขือเทศ,🍅,ทะ-มา-โท้ คนไทยเรียก “มะเขือเทศ” ก็ลากเสียงคล้าย,n.,No tomato please.,ไม่ใส่มะเขือเทศครับ,2
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,onion,/ˈʌnjən/,หัวหอม,🧅,อัน-เยิ่น หอมแล้ว “อั้น” หายใจ,n.,Add some onion.,ใส่หัวหอมหน่อย,3
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,pickle,/ˈpɪkl/,แตงกวาดอง,🥒,พิค-เคิ่ล “พิก” แตงกวามาดอง เปรี้ยว ๆ,n.,I love pickles.,ฉันชอบแตงกวาดอง,4
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,cheese,/tʃiːz/,ชีส,🧀,ชี้ส คำเดียวกับ “ชีส” ที่คนไทยพูด,n.,Extra cheese please.,ขอชีสเพิ่มครับ,5
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,bacon,/ˈbeɪkən/,เบคอน,🥓,เบ-เขิ่น = “เบคอน” ตรงตัว,n.,A bacon burger.,เบอร์เกอร์เบคอน,6
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,bun,/bʌn/,ขนมปัง,🍞,บัน นึกถึง “บัน” ก้อนกลม ๆ นุ่ม ๆ,n.,A soft bun.,ขนมปังนุ่ม ๆ,7
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,patty,/ˈpæti/,เนื้อแผ่น,🥩,แพ็ท-ที้ เนื้อแผ่นแบน ๆ ที่ “แปะ” ในเบอร์เกอร์,n.,A beef patty.,เนื้อวัวแผ่น,8
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,fries,/fraɪz/,เฟรนช์ฟราย,🍟,ฟราย = “ฟราย” ทอด ๆ กรอบ ๆ,n.,Large fries please.,เฟรนช์ฟรายไซซ์ใหญ่,9
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,straw,/strɔː/,หลอดดูด,🥤,สทรอว์ ดูดน้ำ “สู้ด ๆ”,n.,Where are the straws?,หลอดดูดอยู่ไหน,10
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,ketchup,/ˈketʃəp/,ซอสมะเขือเทศ,🍅,เค็ท-ชัพ ราด “เค็ต” แล้วซด,n.,Pass the ketchup.,ส่งซอสมะเขือเทศหน่อย,11
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,mayonnaise,/ˈmeɪəneɪz/,มายองเนส,🧴,เม-โย-เนส = “มายองเนส” ตรงตัว,n.,No mayonnaise thanks.,ไม่ใส่มายองเนสครับ,12
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,menu,/ˈmenjuː/,เมนู,📋,เม็น-หนู = “เมนู” ตรงตัว,n.,Can I see the menu?,ขอดูเมนูได้ไหม,13
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,combo,/ˈkɒmboʊ/,ชุดคอมโบ,🍱,คอม-โบ้ = “คอมโบ” จัดเป็นชุด,n.,One combo please.,ขอคอมโบหนึ่งชุด,14
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,receipt,/rɪˈsiːt/,ใบเสร็จ,🧾,ริ-ซีท ตัว p ไม่ออกเสียง! อ่านว่า “ริซีท”,n.,Can I get a receipt?,ขอใบเสร็จได้ไหม,15
hamburger,ร้านแฮมเบอร์เกอร์,🍔,1,takeaway,/ˈteɪkəweɪ/,ห่อกลับบ้าน,🥡,take (เอา) + away (ไป) = เอากลับบ้าน,n.,Takeaway please.,ขอห่อกลับบ้านครับ,16
