theme_slug,theme_title_th,theme_emoji,theme_order,word,ipa,thai,emoji,hint,pos,example_en,example_th,order
months,เดือน,🗓️,30,January,/ˈdʒænjueri/,มกราคม,🗓️,แจนยัวรี่ = มกราคม,n.,My birthday is in January.,วันเกิดฉันเดือนมกราคม,1
months,เดือน,🗓️,30,February,/ˈfebrueri/,กุมภาพันธ์,🗓️,เฟบรัวรี่ = กุมภา,n.,February is short.,กุมภาพันธ์เดือนสั้น,2
months,เดือน,🗓️,30,March,/mɑːrtʃ/,มีนาคม,🗓️,มาร์ช = มีนา,n.,It is hot in March.,มีนาคมอากาศร้อน,3
months,เดือน,🗓️,30,April,/ˈeɪprəl/,เมษายน,🗓️,เอพริล = เมษา,n.,Songkran is in April.,สงกรานต์อยู่เดือนเมษายน,4
months,เดือน,🗓️,30,May,/meɪ/,พฤษภาคม,🗓️,เมย์ = พฤษภา,n.,It rains in May.,พฤษภาคมฝนตก,5
months,เดือน,🗓️,30,June,/dʒuːn/,มิถุนายน,🗓️,จูน = มิถุนา,n.,School starts in June.,เปิดเรียนเดือนมิถุนายน,6
months,เดือน,🗓️,30,July,/dʒuˈlaɪ/,กรกฎาคม,🗓️,จุลาย = กรกฎา,n.,July is rainy.,กรกฎาคมฝนเยอะ,7
months,เดือน,🗓️,30,August,/ˈɔːɡəst/,สิงหาคม,🗓️,ออกัสต์ = สิงหา,n.,I travel in August.,ฉันเที่ยวเดือนสิงหาคม,8
months,เดือน,🗓️,30,September,/sepˈtembər/,กันยายน,🗓️,เซพเทมเบอร์ = กันยา,n.,September is cool.,กันยายนอากาศเย็น,9
months,เดือน,🗓️,30,October,/ɒkˈtoʊbər/,ตุลาคม,🗓️,อ็อกโทเบอร์ = ตุลา,n.,October is nice.,ตุลาคมอากาศดี,10
months,เดือน,🗓️,30,November,/noʊˈvembər/,พฤศจิกายน,🗓️,โนเวมเบอร์ = พฤศจิกา,n.,November is cool.,พฤศจิกายนอากาศเย็น,11
months,เดือน,🗓️,30,December,/dɪˈsembər/,ธันวาคม,🗓️,ดีเซมเบอร์ = ธันวา,n.,December is cold.,ธันวาคมหนาว,12
sports,กีฬา,⚽,31,football,/ˈfʊtbɔːl/,ฟุตบอล,⚽,foot + ball = ฟุตบอล,n.,I play football.,ฉันเล่นฟุตบอล,1
sports,กีฬา,⚽,31,basketball,/ˈbæskɪtbɔːl/,บาสเกตบอล,🏀,บาสเก็ตบอล ตรงตัว,n.,Play basketball.,เล่นบาสเกตบอล,2
sports,กีฬา,⚽,31,tennis,/ˈtenɪs/,เทนนิส,🎾,เทนนิส ตรงตัว,n.,She plays tennis.,เธอเล่นเทนนิส,3
sports,กีฬา,⚽,31,swimming,/ˈswɪmɪŋ/,ว่ายน้ำ,🏊,สวิมมิ่ง = ว่ายน้ำ,n.,I like swimming.,ฉันชอบว่ายน้ำ,4
sports,กีฬา,⚽,31,running,/ˈrʌnɪŋ/,วิ่ง,🏃,รันนิ่ง = วิ่ง,n.,Running is good.,การวิ่งดีต่อสุขภาพ,5
sports,กีฬา,⚽,31,boxing,/ˈbɒksɪŋ/,ชกมวย,🥊,บ็อกซิ่ง = มวย,n.,He likes boxing.,เขาชอบมวย,6
sports,กีฬา,⚽,31,badminton,/ˈbædmɪntən/,แบดมินตัน,🏸,แบดมินตัน ตรงตัว,n.,Let’s play badminton.,ไปเล่นแบดกัน,7
sports,กีฬา,⚽,31,golf,/ɡɒlf/,กอล์ฟ,⛳,กอล์ฟ ตรงตัว,n.,My dad plays golf.,พ่อฉันเล่นกอล์ฟ,8
sports,กีฬา,⚽,31,volleyball,/ˈvɒlibɔːl/,วอลเลย์บอล,🏐,วอลเลย์บอล ตรงตัว,n.,We play volleyball.,เราเล่นวอลเลย์บอล,9
sports,กีฬา,⚽,31,cycling,/ˈsaɪklɪŋ/,ปั่นจักรยาน,🚴,ไซคลิ่ง = ปั่นจักรยาน,n.,I enjoy cycling.,ฉันชอบปั่นจักรยาน,10
sports,กีฬา,⚽,31,yoga,/ˈjoʊɡə/,โยคะ,🧘,โยคะ ตรงตัว,n.,I do yoga.,ฉันเล่นโยคะ,11
sports,กีฬา,⚽,31,ping pong,/ˈpɪŋ pɒŋ/,ปิงปอง,🏓,ปิงปอง ตรงตัว,n.,Play ping pong.,เล่นปิงปอง,12
sports,กีฬา,⚽,31,team,/tiːm/,ทีม,👥,ทีม ตรงตัว,n.,We are a team.,เราเป็นทีมเดียวกัน,13
sports,กีฬา,⚽,31,ball,/bɔːl/,ลูกบอล,⚽,บอล = ลูกบอล,n.,Throw the ball.,โยนลูกบอล,14
technology,เทคโนโลยี,📱,32,phone,/foʊn/,โทรศัพท์,📱,โฟน = โทรศัพท์,n.,Answer the phone.,รับโทรศัพท์,1
technology,เทคโนโลยี,📱,32,computer,/kəmˈpjuːtər/,คอมพิวเตอร์,💻,คอมพิวเตอร์ ตรงตัว,n.,Turn on the computer.,เปิดคอมพิวเตอร์,2
technology,เทคโนโลยี,📱,32,internet,/ˈɪntərnet/,อินเทอร์เน็ต,🌐,อินเทอร์เน็ต ตรงตัว,n.,The internet is slow.,อินเทอร์เน็ตช้า,3
technology,เทคโนโลยี,📱,32,email,/ˈiːmeɪl/,อีเมล,📧,อีเมล ตรงตัว,n.,Send me an email.,ส่งอีเมลมาให้ฉัน,4
technology,เทคโนโลยี,📱,32,password,/ˈpæswɜːrd/,รหัสผ่าน,🔑,pass + word = รหัสผ่าน,n.,Enter your password.,ใส่รหัสผ่าน,5
